Datum;Ura;Prenos;Nalozeno
5.1.2014;20:00:00;95958768;5204229
5.1.2014;21:00:00;54875272;4963799
5.1.2014;22:00:00;58862853;6162115
5.1.2014;23:00:00;40056549;7412126
6.1.2014;16:00:00;88241883;4882588
6.1.2014;17:00:00;120888033;8456585
6.1.2014;18:00:00;70498425;5550144
6.1.2014;19:00:00;34627731;4283464
6.1.2014;20:00:00;121705662;8429763
6.1.2014;21:00:00;104356468;9033799
6.1.2014;22:00:00;204538781;14770376
6.1.2014;23:00:00;162948314;9277927
7.1.2014;0:00:00;9589224;368003
7.1.2014;16:00:00;39992698;4832746
7.1.2014;17:00:00;143028377;7876789
7.1.2014;18:00:00;84851815;9123627
7.1.2014;19:00:00;6957746;1238581
7.1.2014;20:00:00;12674194;2007138
7.1.2014;21:00:00;14289635;2339868
7.1.2014;22:00:00;92747899;7981538
7.1.2014;23:00:00;90220801;5087142
8.1.2014;15:00:00;19381728;901566
8.1.2014;16:00:00;158247733;7917175
8.1.2014;17:00:00;8630392;2202471
8.1.2014;18:00:00;104583348;7769998
8.1.2014;19:00:00;1605545;923498
8.1.2014;20:00:00;777992;478992
8.1.2014;21:00:00;1749568;565025
8.1.2014;22:00:00;53446902;4311829
8.1.2014;23:00:00;121803231;9914341
9.1.2014;0:00:00;41959720;2776643
9.1.2014;15:00:00;195159102;5905161
9.1.2014;16:00:00;312032203;8859031
9.1.2014;17:00:00;49544314;4276983
9.1.2014;18:00:00;154240218;7200398
9.1.2014;19:00:00;56243356;3138222
9.1.2014;20:00:00;26051957;2272278
9.1.2014;21:00:00;104990961;8527016
9.1.2014;22:00:00;142486368;9643324
9.1.2014;23:00:00;38580321;3094606
10.1.2014;13:00:00;54421164;3237574
10.1.2014;14:00:00;118633845;4789465
10.1.2014;15:00:00;18513622;1605963
10.1.2014;20:00:00;57405862;4317105
10.1.2014;21:00:00;58526529;4115070
10.1.2014;22:00:00;104888151;6219560
10.1.2014;23:00:00;104032262;8202713
11.1.2014;0:00:00;9333161;456026
11.1.2014;13:00:00;86453203;5740356
11.1.2014;14:00:00;25742491;1202715
11.1.2014;15:00:00;645484;183004
