Datum;Litri;Eur na liter;Prevozeno km
12. 1. 2017;11,530;1,302;180,6
18. 1. 2017;11,610;1,298;176,8
25. 1. 2017;11,570;1,298;186,2
28. 1. 2017;11,560;1,298;154,8
3. 2. 2017;11,650;1,297;178,9
7. 2. 2017;11,570;1,297;184,2
16. 2. 2017;11,550;1,299;177,2
20. 2. 2017;11,550;1,299;174,5
24. 2. 2017;11,550;1,299;194,3
27. 2. 2017;11,610;1,299;167,8
3. 3. 2017;11,510;1,303;161,8
8. 3. 2017;11,510;1,303;166,2
11. 3. 2017;11,520;1,303;185,2
15. 3. 2017;11,760;1,276;174,7
18. 3. 2017;11,770;1,276;174,0
23. 3. 2017;23,520;1,276;295,5
24. 3. 2017;11,770;1,276;178,8
28. 3. 2017;11,960;1,256;189,4
31. 3. 2017;11,940;1,256;182,8
5. 4. 2017;11,940;1,256;200,1
10. 4. 2017;11,950;1,256;174,1
15. 4. 2017;11,690;1,285;172,0
19. 4. 2017;11,730;1,285;168,9
23. 4. 2017;11,670;1,285;177,9
29. 4. 2017;11,480;1,308;179,0
4. 5. 2017;11,480;1,308;167,3
13. 5. 2017;11,970;1,255;177,9
17. 5. 2017;12,000;1,255;168,8
21. 5. 2017;11,960;1,255;175,8
24. 5. 2017;12,060;1,249;190,5
29. 5. 2017;12,070;1,249;204,7
3. 6. 2017;12,020;1,249;183,4
7. 6. 2017;11,980;1,252;179,7
10. 6. 2017;12,010;1,252;180,3
16. 6. 2017;12,010;1,252;180,4
20. 6. 2017;12,350;1,216;179,9
23. 6. 2017;12,340;1,216;181,6
27. 6. 2017;12,340;1,216;189,1
2. 7. 2017;12,340;1,216;190,4
5. 7. 2017;12,280;1,225;169,1
12. 7. 2017;12,250;1,225;179,1
15. 7. 2017;12,280;1,225;193,0
18. 7. 2017;12,200;1,234;181,4
22. 7. 2017;12,170;1,234;176,6
26. 7. 2017;12,160;1,234;178,9
29. 7. 2017;12,950;1,158;185,2
2. 8. 2017;12,060;1,244;195,5
7. 8. 2017;12,060;1,244;184,9
13. 8. 2017;12,100;1,244;182,3
22. 8. 2017;11,950;1,256;168,6
25. 8. 2017;11,900;1,261;176,2
28. 8. 2017;11,910;1,261;164,5
31. 8. 2017;11,920;1,258;179,4
2. 9. 2017;11,970;1,253;161,1
4. 9. 2017;11,970;1,253;161,2
12. 9. 2017;11,750;1,279;172,0
15. 9. 2017;11,750;1,279;161,2
22. 9. 2017;11,690;1,285;168,9
26. 9. 2017;12,000;1,271;165,8
30. 9. 2017;20,020;1,271;290,1
2. 10. 2017;12,030;1,271;174,5
7. 10. 2017;12,010;1,271;178,2
13. 10. 2017;12,030;1,264;175,7
17. 10. 2017;12,010;1,264;165,9
21. 10. 2017;12,100;1,264;174,2
26. 10. 2017;12,000;1,260;173,0
29. 10. 2017;12,010;1,260;173,4
31. 10. 2017;12,010;1,260;183,1
5. 11. 2017;12,020;1,260;177,5
10. 11. 2017;12,020;1,280;175,8
12. 11. 2017;12,000;1,280;183,9
16. 11. 2017;12,070;1,280;187,3
20. 11. 2017;12,020;1,286;185,0
24. 11. 2017;12,030;1,300;176,5
28. 11. 2017;12,050;1,300;127,9
1. 12. 2017;12,000;1,306;183,6
3. 12. 2017;12,010;1,300;153,2
6. 12. 2017;12,040;1,289;147,2
10. 12. 2017;12,010;1,289;184,2
12. 12. 2017;12,030;1,289;171,6
16. 12. 2017;12,010;1,289;169,9
19. 12. 2017;12,000;1,286;170,2
22. 12. 2017;32,010;0,482;476,8
30. 12. 2017;30,000;0,000;449,6
8. 1. 2018;30,000;0,000;510,0
20. 1. 2018;15,000;0,000;157,5
24. 1. 2018;12,030;1,307;160,8
26. 1. 2018;12,020;1,314;160,8
29. 1. 2018;30,000;1,102;456,3
16. 2. 2018;12,070;1,307;152,0
19. 2. 2018;10,020;1,300;162,9
21. 2. 2018;7,720;1,300;71,9
22. 2. 2018;11,590;1,300;191,6
28. 2. 2018;11,800;1,272;159,5
2. 3. 2018;31,790;0,472;533,1
12. 3. 2018;12,000;1,272;162,0
15. 3. 2018;11,780;1,280;176,3
17. 3. 2018;12,000;1,280;165,7
20. 3. 2018;12,060;1,280;158,1
24. 3. 2018;12,000;1,280;188,3
28. 3. 2018;12,000;1,299;183,5
2. 4. 2018;12,000;1,299;159,6
6. 4. 2018;22,160;0,713;398,6
13. 4. 2018;12,090;1,311;181,0
18. 4. 2018;12,030;1,318;163,8
21. 4. 2018;12,000;1,311;177,8
24. 4. 2018;12,010;1,327;162,0
29. 4. 2018;12,000;1,327;191,5
2. 5. 2018;12,030;1,327;165,2
6. 5. 2018;12,060;1,327;187,7
11. 5. 2018;12,010;1,351;169,6
14. 5. 2018;12,000;1,351;192,6
18. 5. 2018;12,000;1,351;165,0
23. 5. 2018;12,010;1,351;175,5
27. 5. 2018;12,010;1,351;166,1
31. 5. 2018;12,040;1,351;162,4
3. 6. 2018;12,020;1,351;182,6
8. 6. 2018;12,000;1,363;182,8
11. 6. 2018;12,000;1,363;0,0
